center_id,latitude,longitude,street_name,mcpps,sector
snd-10089,47.666920,-122.328524,1ST AVE NE,WALLINGFORD,B
snd-10090,47.667022,-122.328961,KENSINGTON PL N,WALLINGFORD,B
snd-10091,47.666801,-122.325580,LATONA AVE NE,WALLINGFORD,B
snd-10092,47.666449,-122.327089,NE 52ND ST,WALLINGFORD,B
snd-10093,47.665987,-122.378887,17TH AVE NW,BALLARD SOUTH,B
snd-10094,47.666781,-122.322856,5TH AVE NE,WALLINGFORD,B
snd-10095,47.666429,-122.324222,NE 52ND ST,WALLINGFORD,B
snd-10096,47.666069,-122.376219,15TH AVE NW,BALLARD SOUTH,B
snd-10097,47.665707,-122.377554,NW 51ST ST,BALLARD SOUTH,B
snd-10098,47.666066,-122.373591,14TH AVE NW,BALLARD SOUTH,B
snd-10099,47.665703,-122.374905,NW 51ST ST,BALLARD SOUTH,B
snd-10100,47.665838,-122.380456,NW IONE PL,BALLARD SOUTH,B
snd-10101,47.666134,-122.381495,LEARY AVE NW,BALLARD SOUTH,B
snd-10102,47.666062,-122.370763,11TH AVE NW,BALLARD SOUTH,B
snd-10103,47.665700,-122.372178,NW 51ST ST,BALLARD SOUTH,B
snd-10106,47.666059,-122.368609,9TH AVE NW,BALLARD SOUTH,B
snd-10107,47.665696,-122.369686,NW 51ST ST,BALLARD SOUTH,B
snd-10108,47.666090,-122.382133,20TH AVE NW,BALLARD SOUTH,B
snd-10109,47.665957,-122.382666,BALLARD AVE NW,BALLARD SOUTH,B
snd-10110,47.666056,-122.366185,8TH AVE NW,BALLARD SOUTH,B
snd-10111,47.665693,-122.367397,NW 51ST ST,BALLARD SOUTH,B
snd-10112,47.666088,-122.363290,6TH AVE NW,BALLARD SOUTH,B
snd-10113,47.665707,-122.364738,NW 51ST ST,BALLARD SOUTH,B
snd-10114,47.666220,-122.358728,2ND AVE NW,PHINNEY RIDGE,B
snd-10115,47.665982,-122.357124,1ST AVE NW,PHINNEY RIDGE,B
snd-10116,47.665781,-122.357928,NW 51ST ST,PHINNEY RIDGE,B
snd-10117,47.665594,-122.378888,17TH AVE NW,BALLARD SOUTH,B
snd-10118,47.666314,-122.356412,PALATINE AVE N,PHINNEY RIDGE,B
snd-10119,47.665777,-122.356770,N 51ST ST,PHINNEY RIDGE,B
snd-10120,47.666055,-122.360801,3RD AVE NW,FREMONT,B
snd-10121,47.665706,-122.362045,NW 51ST ST,BALLARD SOUTH,B
snd-10122,47.666072,-122.355407,GREENWOOD AVE N,PHINNEY RIDGE,B
snd-10123,47.665761,-122.355912,N 51ST ST,PHINNEY RIDGE,B
snd-10124,47.666272,-122.329202,N 52ND ST,WALLINGFORD,B
snd-10125,47.666810,-122.330290,KIRKWOOD PL N,WALLINGFORD,B
snd-10127,47.666054,-122.354428,PHINNEY AVE N,PHINNEY RIDGE,B
snd-10128,47.665730,-122.354920,N 51ST ST,PHINNEY RIDGE,B
snd-10129,47.665405,-122.379030,NW DOCK PL,BALLARD SOUTH,B
snd-10130,47.665708,-122.379613,RUSSELL AVE NW,BALLARD SOUTH,B
snd-10131,47.666136,-122.338494,WOODLAWN AVE N,WALLINGFORD,B
snd-10132,47.666069,-122.340093,GREEN LAKE WAY N,WALLINGFORD,B
snd-10133,47.666134,-122.336401,WALLINGFORD AVE N,WALLINGFORD,B
snd-10134,47.665773,-122.337451,N 51ST ST,WALLINGFORD,B
snd-10135,47.665733,-122.339295,N 51ST ST,WALLINGFORD,B
snd-10136,47.666134,-122.333709,MERIDIAN AVE N,WALLINGFORD,B
snd-10137,47.665772,-122.335059,N 51ST ST,WALLINGFORD,B
snd-10138,47.665334,-122.381233,NW IONE PL,BALLARD SOUTH,B
snd-10139,47.665305,-122.381898,BALLARD AVE NW,BALLARD SOUTH,B
snd-10140,47.665918,-122.330408,N 52ND ST,WALLINGFORD,B
snd-10141,47.666116,-122.331273,KEYSTONE PL N,WALLINGFORD,B
snd-10142,47.665762,-122.332357,N 51ST ST,WALLINGFORD,B
snd-10144,47.666109,-122.328361,1ST AVE NE,WALLINGFORD,B
snd-10145,47.665743,-122.329651,N 51ST ST,WALLINGFORD,B
snd-10146,47.665266,-122.378889,17TH AVE NW,BALLARD SOUTH,B
snd-10147,47.665193,-122.379030,RUSSELL AVE NW,BALLARD SOUTH,B
snd-10148,47.665530,-122.354433,PHINNEY AVE N,PHINNEY RIDGE,B
snd-10149,47.665377,-122.376220,15TH AVE NW,BALLARD SOUTH,B
snd-10150,47.665051,-122.377555,NW 50TH ST,BALLARD SOUTH,B
snd-10151,47.666077,-122.325591,LATONA AVE NE,WALLINGFORD,B
snd-10152,47.665725,-122.326948,NE 51ST ST,WALLINGFORD,B
snd-10153,47.665374,-122.373592,14TH AVE NW,BALLARD SOUTH,B
snd-10154,47.665048,-122.374906,NW 50TH ST,BALLARD SOUTH,B
snd-10155,47.666058,-122.322861,5TH AVE NE,WALLINGFORD,B
snd-10156,47.665706,-122.324230,NE 51ST ST,WALLINGFORD,B
snd-10157,47.665370,-122.370764,11TH AVE NW,BALLARD SOUTH,B
snd-10158,47.665044,-122.372178,NW 50TH ST,BALLARD SOUTH,B
snd-10159,47.665367,-122.368609,9TH AVE NW,BALLARD SOUTH,B
snd-10160,47.665041,-122.369687,NW 50TH ST,BALLARD SOUTH,B
snd-10161,47.665106,-122.379594,NW DOCK PL,BALLARD SOUTH,B
snd-10162,47.665235,-122.380436,LEARY AVE NW,BALLARD SOUTH,B
snd-10163,47.665364,-122.366187,8TH AVE NW,BALLARD SOUTH,B
snd-10164,47.665039,-122.367399,NW 50TH ST,BALLARD SOUTH,B
snd-10165,47.665030,-122.365092,NW 50TH ST,BALLARD SOUTH,B
snd-10166,47.665371,-122.363292,6TH AVE NW,BALLARD SOUTH,B
snd-10167,47.665020,-122.363645,NW 50TH ST,BALLARD SOUTH,B
snd-10168,47.665955,-122.359668,BAKER AVE NW,PHINNEY RIDGE,B
snd-10169,47.666158,-122.360346,NW MARKET ST,PHINNEY RIDGE,B
snd-10170,47.665415,-122.358786,2ND AVE NW,PHINNEY RIDGE,B
snd-10171,47.665047,-122.359113,NW 50TH ST,PHINNEY RIDGE,B
snd-10172,47.665031,-122.360220,NW 50TH ST,FREMONT,B
snd-10173,47.665351,-122.360800,3RD AVE NW,BALLARD SOUTH,B
snd-10174,47.665015,-122.362047,NW 50TH ST,BALLARD SOUTH,B
snd-10175,47.665414,-122.357131,1ST AVE NW,PHINNEY RIDGE,B
snd-10176,47.665048,-122.357989,NW 50TH ST,PHINNEY RIDGE,B
snd-10177,47.665391,-122.355410,GREENWOOD AVE N,PHINNEY RIDGE,B
snd-10178,47.665042,-122.356273,N 50TH ST,PHINNEY RIDGE,B
snd-10179,47.665184,-122.354436,PHINNEY AVE N,PHINNEY RIDGE,B
snd-10180,47.665028,-122.354924,N 50TH ST,PHINNEY RIDGE,B
snd-10181,47.665055,-122.354149,PHINNEY AVE N,FREMONT,B
snd-10182,47.665065,-122.354345,N 50TH ST,FREMONT,B
snd-10183,47.665018,-122.353335,N 50TH ST,FREMONT,B
snd-10184,47.665017,-122.352086,N 50TH ST,FREMONT,B
snd-10185,47.665028,-122.350732,N 50TH ST,FREMONT,B
snd-10186,47.665003,-122.349287,N 50TH ST,PHINNEY RIDGE,B
snd-10189,47.668366,-122.347286,AURORA AVE N,PHINNEY RIDGE,B
snd-10190,47.665010,-122.347935,N 50TH ST,PHINNEY RIDGE,B
snd-10191,47.665000,-122.346678,N 50TH ST,WALLINGFORD,B
snd-10192,47.665021,-122.345291,N 50TH ST,WALLINGFORD,B
snd-10193,47.665021,-122.342909,N 50TH ST,WALLINGFORD,B
snd-10194,47.665003,-122.344127,N 50TH ST,WALLINGFORD,B
snd-10195,47.665382,-122.340152,GREEN LAKE WAY N,PHINNEY RIDGE,B
snd-10196,47.665036,-122.341145,N 50TH ST,WALLINGFORD,B
snd-10197,47.665035,-122.339667,N 50TH ST,WALLINGFORD,B
snd-10198,47.665405,-122.338501,WOODLAWN AVE N,WALLINGFORD,B
snd-10199,47.665035,-122.338816,N 50TH ST,WALLINGFORD,B
snd-10200,47.664670,-122.380461,NW DOCK PL,BALLARD SOUTH,B
snd-10201,47.664783,-122.381284,BALLARD AVE NW,BALLARD SOUTH,B
snd-10202,47.665035,-122.338087,N 50TH ST,WALLINGFORD,B
snd-10203,47.665404,-122.336407,WALLINGFORD AVE N,WALLINGFORD,B
snd-10204,47.665035,-122.337039,N 50TH ST,WALLINGFORD,B
snd-10205,47.665035,-122.335781,N 50TH ST,WALLINGFORD,B
snd-10206,47.665404,-122.333716,MERIDIAN AVE N,WALLINGFORD,B
snd-10207,47.665036,-122.334435,N 50TH ST,WALLINGFORD,B
snd-10208,47.664725,-122.378890,17TH AVE NW,BALLARD SOUTH,B
snd-10209,47.665386,-122.331007,KEYSTONE PL N,WALLINGFORD,B
snd-10210,47.665028,-122.332365,N 50TH ST,WALLINGFORD,B
snd-10211,47.665385,-122.330793,KEYSTONE PL N,WALLINGFORD,B
snd-10212,47.665019,-122.330797,N 50TH ST,WALLINGFORD,B
snd-10213,47.664731,-122.376321,15TH AVE NW,BALLARD SOUTH,B
snd-10214,47.664393,-122.377605,NW 49TH ST,BALLARD SOUTH,B
snd-10215,47.663701,-122.376221,15TH AVE NW,BALLARD SOUTH,B
snd-10217,47.664732,-122.376122,15TH AVE NW,BALLARD SOUTH,B
snd-10219,47.665013,-122.329823,N 50TH ST,WALLINGFORD,B
snd-10220,47.665369,-122.328283,1ST AVE NE,WALLINGFORD,B
snd-10221,47.665006,-122.328665,N 50TH ST,WALLINGFORD,B
snd-10222,47.664719,-122.373593,14TH AVE NW,BALLARD SOUTH,B
snd-10223,47.664393,-122.374860,NW 49TH ST,BALLARD SOUTH,B
snd-10224,47.665000,-122.327732,NE 50TH ST,WALLINGFORD,B
snd-10225,47.664883,-122.382134,20TH AVE NW,BALLARD SOUTH,B
snd-10226,47.665085,-122.383106,SHILSHOLE AVE NW,BALLARD SOUTH,B
snd-10227,47.664994,-122.326661,NE 50TH ST,WALLINGFORD,B
snd-10228,47.665351,-122.325602,LATONA AVE NE,WALLINGFORD,B
snd-10229,47.664989,-122.325867,NE 50TH ST,WALLINGFORD,B
snd-10230,47.664715,-122.370765,11TH AVE NW,BALLARD SOUTH,B
snd-10231,47.664986,-122.325331,NE 50TH ST,WALLINGFORD,B
snd-10232,47.664981,-122.324519,NE 50TH ST,WALLINGFORD,B
snd-10233,47.664712,-122.368610,9TH AVE NW,BALLARD SOUTH,B
snd-10234,47.664386,-122.369688,NW 49TH ST,BALLARD SOUTH,B
snd-10235,47.665336,-122.322863,5TH AVE NE,WALLINGFORD,B
snd-10236,47.664977,-122.323423,NE 50TH ST,WALLINGFORD,B
snd-10237,47.664964,-122.321783,NE 50TH ST,UNIVERSITY,U
snd-10240,47.664709,-122.366188,8TH AVE NW,BALLARD SOUTH,B
snd-10241,47.664382,-122.367400,NW 49TH ST,BALLARD SOUTH,B
snd-10242,47.664703,-122.363997,6TH AVE NW,BALLARD SOUTH,B
snd-10243,47.664382,-122.365093,NW 49TH ST,BALLARD SOUTH,B
snd-10244,47.664674,-122.360799,3RD AVE NW,BALLARD SOUTH,B
snd-10245,47.664380,-122.362386,NW 49TH ST,BALLARD SOUTH,B
snd-10246,47.664675,-122.358839,2ND AVE NW,PHINNEY RIDGE,B
snd-10247,47.664558,-122.359126,NW MARKET ST,FREMONT,B
snd-10248,47.664302,-122.359826,NW 49TH ST,FREMONT,B
snd-10249,47.664678,-122.357135,1ST AVE NW,PHINNEY RIDGE,B
snd-10250,47.664304,-122.357985,NW 49TH ST,PHINNEY RIDGE,B
snd-10251,47.664216,-122.381350,NW DOCK PL,BALLARD SOUTH,B
snd-10252,47.664115,-122.381964,SHILSHOLE AVE NW,BALLARD SOUTH,B
snd-10253,47.664671,-122.355413,GREENWOOD AVE N,FREMONT,B
snd-10254,47.664307,-122.356275,N 49TH ST,PHINNEY RIDGE,B
snd-10255,47.664209,-122.380608,BALLARD AVE NW,BALLARD SOUTH,B
snd-10256,47.664663,-122.353962,PHINNEY AVE N,FREMONT,B
snd-10257,47.664307,-122.354690,N 49TH ST,FREMONT,B
snd-10258,47.664177,-122.378892,17TH AVE NW,BALLARD SOUTH,B
snd-10259,47.664411,-122.379466,LEARY AVE NW,BALLARD SOUTH,B
snd-10260,47.664661,-122.352714,DAYTON AVE N,FREMONT,B
snd-10261,47.664305,-122.353341,N 49TH ST,FREMONT,B
snd-10262,47.664659,-122.351465,EVANSTON AVE N,FREMONT,B
snd-10263,47.664304,-122.352093,N 49TH ST,FREMONT,B
snd-10264,47.664671,-122.350010,FREMONT AVE N,FREMONT,B
snd-10265,47.664302,-122.350743,N 49TH ST,FREMONT,B
snd-10266,47.664655,-122.348563,LINDEN AVE N,FREMONT,B
snd-10267,47.664300,-122.349292,N 49TH ST,FREMONT,B
snd-10268,47.664653,-122.347315,AURORA AVE N,FREMONT,B
snd-10269,47.664298,-122.347943,N 49TH ST,FREMONT,B
snd-10270,47.663846,-122.379598,NW 48TH ST,BALLARD SOUTH,B
snd-10271,47.664669,-122.346067,WHITMAN AVE N,WALLINGFORD,B
snd-10272,47.664295,-122.346695,N 49TH ST,WALLINGFORD,B
snd-10273,47.664648,-122.344523,WOODLAND PARK AVE N,WALLINGFORD,B
snd-10274,47.664293,-122.345299,N 49TH ST,WALLINGFORD,B
snd-10275,47.664647,-122.343741,MIDVALE AVE N,WALLINGFORD,B
snd-10276,47.664291,-122.344136,N 49TH ST,WALLINGFORD,B
snd-10277,47.664664,-122.342087,STONE AVE N,WALLINGFORD,B
snd-10278,47.664291,-122.342918,N 49TH ST,WALLINGFORD,B
snd-10279,47.664663,-122.340985,GREEN LAKE WAY N,WALLINGFORD,B
snd-10280,47.664291,-122.341926,N 49TH ST,WALLINGFORD,B
snd-10281,47.664662,-122.340447,STONE WAY N,WALLINGFORD,B
snd-10282,47.664291,-122.341225,N 49TH ST,WALLINGFORD,B
snd-10283,47.664663,-122.339130,WOODLAWN AVE N,WALLINGFORD,B
snd-10284,47.664291,-122.339910,N 49TH ST,WALLINGFORD,B
snd-10285,47.664664,-122.337671,DENSMORE AVE N,WALLINGFORD,B
snd-10286,47.664292,-122.338403,N 49TH ST,WALLINGFORD,B
snd-10287,47.664664,-122.336412,WALLINGFORD AVE N,WALLINGFORD,B
snd-10288,47.664293,-122.337043,N 49TH ST,WALLINGFORD,B
snd-10289,47.664664,-122.335153,BURKE AVE N,WALLINGFORD,B
snd-10290,47.664293,-122.335784,N 49TH ST,WALLINGFORD,B
snd-10291,47.663849,-122.330142,SUNNYSIDE AVE N,WALLINGFORD,B
snd-10292,47.664664,-122.333722,MERIDIAN AVE N,WALLINGFORD,B
snd-10293,47.664292,-122.334440,N 49TH ST,WALLINGFORD,B
snd-10294,47.664209,-122.341927,GREEN LAKE WAY N,WALLINGFORD,B
snd-10295,47.664209,-122.342092,STONE AVE N,WALLINGFORD,B
snd-10296,47.664029,-122.376320,15TH AVE NW,BALLARD SOUTH,B
snd-10297,47.663667,-122.377659,NW LEARY WAY,BALLARD SOUTH,B
snd-10299,47.663664,-122.376222,NW LEARY WAY,BALLARD SOUTH,B
snd-10300,47.664030,-122.376125,15TH AVE NW,BALLARD SOUTH,B
snd-10302,47.664026,-122.373593,14TH AVE NW,BALLARD SOUTH,B
snd-10303,47.663663,-122.374859,NW LEARY WAY,BALLARD SOUTH,B
snd-10304,47.664022,-122.370766,11TH AVE NW,BALLARD SOUTH,B
snd-10305,47.663660,-122.372180,NW LEARY WAY,BALLARD SOUTH,B
snd-10306,47.663657,-122.370495,NW LEARY WAY,BALLARD SOUTH,B
snd-10307,47.664019,-122.368611,9TH AVE NW,BALLARD SOUTH,B
snd-10308,47.663656,-122.369417,NW LEARY WAY,BALLARD SOUTH,B
snd-10309,47.664016,-122.366190,8TH AVE NW,BALLARD SOUTH,B
snd-10310,47.663653,-122.367401,NW 48TH ST,BALLARD SOUTH,B
snd-10311,47.664018,-122.363998,6TH AVE NW,BALLARD SOUTH,B
snd-10312,47.663651,-122.365095,NW 48TH ST,BALLARD SOUTH,B
snd-10313,47.663976,-122.360798,3RD AVE NW,BALLARD SOUTH,B
snd-10314,47.663654,-122.362388,NW 48TH ST,BALLARD SOUTH,B
snd-10315,47.663947,-122.358838,2ND AVE NW,FREMONT,B
snd-10316,47.663589,-122.359826,NW 48TH ST,FREMONT,B
snd-10317,47.663947,-122.358433,NW MARKET ST,FREMONT,B
snd-10318,47.663591,-122.358434,NW 48TH ST,FREMONT,B
snd-10319,47.663949,-122.357132,1ST AVE NW,PHINNEY RIDGE,B
snd-10320,47.663592,-122.357449,NW 48TH ST,PHINNEY RIDGE,B
snd-10321,47.663952,-122.355418,GREENWOOD AVE N,FREMONT,B
snd-10322,47.663594,-122.356276,N 48TH ST,PHINNEY RIDGE,B
snd-10323,47.663949,-122.353967,PHINNEY AVE N,FREMONT,B
snd-10324,47.663594,-122.354695,N 48TH ST,FREMONT,B
snd-10325,47.663948,-122.352719,DAYTON AVE N,FREMONT,B
snd-10326,47.663592,-122.353345,N 48TH ST,FREMONT,B
snd-10327,47.663946,-122.351471,EVANSTON AVE N,FREMONT,B
snd-10328,47.663591,-122.352097,N 48TH ST,FREMONT,B
snd-10329,47.663945,-122.350020,FREMONT AVE N,FREMONT,B
snd-10330,47.663589,-122.350748,N 48TH ST,FREMONT,B
snd-10331,47.663942,-122.348569,LINDEN AVE N,FREMONT,B
snd-10332,47.663587,-122.349298,N 48TH ST,FREMONT,B
snd-10334,47.663940,-122.347322,AURORA AVE N,FREMONT,B
snd-10335,47.663585,-122.347948,N 48TH ST,FREMONT,B
snd-10336,47.663938,-122.346074,WHITMAN AVE N,WALLINGFORD,B
snd-10337,47.663582,-122.346700,N 48TH ST,WALLINGFORD,B
snd-10338,47.663935,-122.344531,WOODLAND PARK AVE N,WALLINGFORD,B
snd-10339,47.663580,-122.345306,N 48TH ST,WALLINGFORD,B
snd-10340,47.663935,-122.343749,MIDVALE AVE N,WALLINGFORD,B
snd-10341,47.663578,-122.344144,N 48TH ST,WALLINGFORD,B
snd-10342,47.663853,-122.342646,GREEN LAKE WAY N,WALLINGFORD,B
snd-10343,47.663578,-122.343476,N 48TH ST,WALLINGFORD,B
snd-10344,47.663853,-122.342096,STONE AVE N,WALLINGFORD,B
snd-10345,47.663578,-122.342649,N 48TH ST,WALLINGFORD,B
snd-10346,47.663934,-122.340930,STONE WAY N,WALLINGFORD,B
snd-10347,47.663578,-122.341636,N 48TH ST,WALLINGFORD,B
snd-10348,47.663934,-122.340663,INTERLAKE AVE N,WALLINGFORD,B
snd-10349,47.663579,-122.340906,N 48TH ST,WALLINGFORD,B
snd-10350,47.663936,-122.339136,WOODLAWN AVE N,WALLINGFORD,B
snd-10351,47.663579,-122.339889,N 48TH ST,WALLINGFORD,B
snd-10352,47.663937,-122.337674,DENSMORE AVE N,WALLINGFORD,B
snd-10353,47.663580,-122.338407,N 48TH ST,WALLINGFORD,B
snd-10354,47.663936,-122.336416,WALLINGFORD AVE N,WALLINGFORD,B
snd-10355,47.663580,-122.337047,N 48TH ST,WALLINGFORD,B
snd-10356,47.663936,-122.335157,BURKE AVE N,WALLINGFORD,B
snd-10357,47.663580,-122.335789,N 48TH ST,WALLINGFORD,B
snd-10358,47.663936,-122.333728,MERIDIAN AVE N,WALLINGFORD,B
snd-10359,47.663580,-122.334445,N 48TH ST,WALLINGFORD,B
snd-10360,47.663414,-122.357824,NW MARKET ST,PHINNEY RIDGE,B
snd-10361,47.663212,-122.359603,NW 47TH ST,FREMONT,B
snd-10362,47.663197,-122.360493,NW 47TH ST,FREMONT,B
snd-10363,47.663404,-122.360796,3RD AVE NW,FREMONT,B
snd-10365,47.663225,-122.358423,NW 47TH ST,FREMONT,B
snd-10366,47.663329,-122.378892,17TH AVE NW,BALLARD SOUTH,B
snd-10367,47.663390,-122.379642,BALLARD AVE NW,BALLARD SOUTH,B
snd-10369,47.663411,-122.355422,GREENWOOD AVE N,PHINNEY RIDGE,B
snd-10370,47.663395,-122.357130,1ST AVE NW,PHINNEY RIDGE,B
snd-10371,47.663299,-122.376321,15TH AVE NW,BALLARD SOUTH,B
snd-10372,47.662937,-122.377607,NW BALLARD WAY,BALLARD SOUTH,B
snd-10373,47.663213,-122.355978,N 47TH ST,PHINNEY RIDGE,B
snd-10374,47.663198,-122.356831,N 47TH ST,PHINNEY RIDGE,B
snd-10377,47.663298,-122.376121,15TH AVE NW,BALLARD SOUTH,B
snd-10379,47.663297,-122.373594,14TH AVE NW,BALLARD SOUTH,B
snd-10380,47.662932,-122.374857,NW BALLARD WAY,BALLARD SOUTH,B
snd-10382,47.663440,-122.343478,GREEN LAKE WAY N,WALLINGFORD,B
snd-10383,47.663440,-122.343755,MIDVALE AVE N,WALLINGFORD,B
snd-10384,47.663293,-122.370767,11TH AVE NW,BALLARD SOUTH,B
snd-10386,47.663296,-122.368606,9TH AVE NW,BALLARD SOUTH,B
snd-10387,47.663458,-122.369257,LEARY WAY NW,BALLARD SOUTH,B
snd-10388,47.662933,-122.369684,NW BALLARD WAY,BALLARD SOUTH,B
snd-10389,47.663287,-122.366192,8TH AVE NW,BALLARD SOUTH,B
snd-10390,47.662930,-122.367397,NW 47TH ST,BALLARD SOUTH,B
snd-10391,47.663287,-122.364000,6TH AVE NW,BALLARD SOUTH,B
